review_id,user_id,business_id,review_count_user,text,average_stars_user,yelping_days,useful,funny,cool,fans,Cluster
JFYhPFF_gzETDAU-_FGDhQ,VUUyWYOHigpEHKIenAIEKQ,xdSdP5uJ0VNG7IKqERmiJQ,4,"Excellent customer service! I use this cleaners weekly, and I'm very happy. They take the upmost care with my garments they treat me like a king. I'm very happy. Definitely will recommend this cleaner to my friends. I have been using this cleaner for 5 years",3.0,4312,8,0,0,0,0
fYQxUbO0GOOxovJgK_Ukcg,nw1HldPgCBktIQSKJn7itA,e-jI9zncjhVCM3YbI3K7Ng,21,"Food mediocre,  service non-existent. 

They were quick to seat us but then very, very slow with everything else.  The salsa is not bad, but the queso is watered down and the chips are too thick and not very fresh.  The portions are not small but not well balanced in the seasoning department,  mostly heat and salt.",4.14,3773,9,2,0,0,0
Nh9w9xTBpG4Tq15lrmYOrQ,BbiU90ATCz1iEctsG5VTNg,kK-pcrXr3CEnWP-ci7XXgw,1,The food is exquisite!!! It's a pretty busy restaurant so expect a wait around dinner time! But it's definitely worth the wait!,5.0,3048,0,0,0,0,0
1CCTDbcGrrxMuxaEW4zDfA,cH_rfmFQT5zzK0cJrFl7Lw,3adRzd7opYta2SKWYyro5w,1,Pizza was terrible and expensive. I won't go there again for sure. Mozzarella sticks tasted gross.,1.0,2810,0,0,0,0,0
9yZGEKVWMIfJdHy-lEfX3w,Cs9vrBCHnjXODulXdVBajw,0zWYKUPvImD7ufl1RQ1jhw,52,"This place says they only work on Japanese cars. They also felt it was necessary to tell me that I would have to pay wether I passed my inspection or not  as if I failed my inspection, they thought I would just run out without paying? Super subtle passive aggressive disrespect (possibly racist), my favorite! ZERO STARS.",3.25,2671,57,23,9,3,1
EDCZQlpvfzgqsL4QF3PAIQ,FQppOkWUXV9ffKW8wvxzQA,DaXCyZLm8yBsR1UndzSfhw,3,Great ice cream! I love there orange sherbert and there chocolate bananana are out of this world. This is the best ice cream place ive ever been to.,3.33,5050,0,0,0,0,0
g69aGHoyyoGxwcoQiZFMYQ,EwIabs3VA-JQ6SI4csqAoA,PpyM4-ICqfw_7wI6YKUQ1Q,11,"This place is very clean, and the staff was friendly, however the quality of work was not good. I went in for a back fill, because my normal nail person was out of town. It took over 2 hours and my nails were left very thick and days later they were lifting.",4.09,4254,3,0,1,0,0
rJNdhzeNBmFyS21M5USKHw,faCVj55vHwWbcNaDgOxL3g,lnjYuK2sAg8qxTvvlnhNFg,8,"Took my SUV for service and I waited. No long wait, professional staff, answered all my questions.",4.89,5208,3,1,4,2,1
HkAE5FJwJmC8EuguXfugJw,QJRxdKbLm3eJguT0BhjlSA,VrcIYAsfBknPDpiuzKZ3Ug,23,"Fantastic service, I love this place! I come here every once in a while to indulge in my sushi cravings. It's on the pricey side but the meal options are generous. The guys are so nice about explaining the sushi options, what's in them and how it's made. And I definitely appreciate the buy two get one free Wednesday option!",3.88,4378,14,3,4,0,1
jcuwOR864ahYJ4c636DbRQ,7Ny67UQP8IRqoJbsuyLCoA,haAIu_BLD6khheesCjKIRw,7,"The best sushi place I've found on my trip here in Florida so far. Great selection for rolls very unique, and fresh fishes, my tuna look beautiful deep red.",4.71,2912,2,0,0,0,1
gteqLDUya0IDRq6auStC9A,apU84gOuDf8Aa8CCBA-Y7Q,oNDzbB73ipPBNbICtJquHw,88,"Best Pittsburgh style steak ever!   Service amazing. Molly, Lauren n Chelsea are amazing. Eat on the bar side. Sliders during happy hour are the best ever!!!",4.54,4365,91,6,47,4,1
8b2UPg-1zQ-uLTzc6JctsA,X1FTYMkd6NgEE_6Mu8oCjg,X4W8t6QT8FBr0oGfR90QiA,1,Went 3 times . Each time at drive thru the man said the cash register doesn't work. I went to Arby's next door and see the drive thru magically working. Hmmm made me wonder for while until I realized each time was same person not choosing to serve me because of my white skin color. Racism certainly exists,1.0,3563,0,0,0,0,0
-B14WUfENj1YrwOiewJVjQ,GvxrFTwWcExRRjbspjJ1Ug,UncNYFAQRvNANRNdVriYcg,6,The bartender padded my bill. Not a credit card purchase so not worth reporting to the police.,1.63,4930,7,2,1,0,1
okZ894vCD7xx5QqyrGrr8A,5_SYn3_OjIRcLaN6PbKyXw,t8wLtNmA64m8UtJ8eK0c4Q,210,"All I had was an irish cream breve, but it was a darn good one. The location is really hip and stylish, yo. The Village is basically U-Village in Seattle's U-District. This coffee shop offers high custom ability, a few pastry options. The menu is a tad overwhelming, but the staff was friendly in helping me pick out a drink.",4.35,3065,102,32,49,7,1
CXh6FljzT0doAVtQxe1HdQ,F99G4UxASH7DHMCjazHHkg,NqE7vN3VT_AphP0cIAatYA,72,"Like the Dunkin Go 2s but it appears that when I visited the restaurant was understaffed - counter staff will try to keep you waiting using ""I will be with you in a moment"" as an excuse.  Something to keep in mind if you have to be somewhere on time such as work.",1.7,3316,29,10,0,1,1
-Fmr7vH_g47zY89FFPljtg,MyZzcgN51kU1LMJlXtxmmw,EwWcloIMj8zflH5Dc16-nw,261,"Rainbow roll, eel roll, spicy tuna roll, California roll and shrimp tempura roll. 
Everything was average. Nothing impressive or creative.",3.05,5253,219,78,39,3,1
