review_id,user_id,business_id,text,stars,categories,review_count_business,stars_business,review_count_user,average_stars_user
x8TP0msJ56uSAeZx34gRjg,rppTTi-kfF8-qyiArNemag,u9Qf_qaesZp0C3-6GT8oKg,"Friendly service and flexible appointments if you schedule ahead of time! They have a pretty big store with many frames for you to choose from including kids. Is right next to a few food places so you can grab a bite after your appointment. 

They have a number of variety of lenses for your glasses and contacts.",3.0,"Eyewear & Opticians, Health & Medical, Optometrists, Shopping",7,3.0,460,3.33
YkbKQcSDQAMJm0WboUBOLA,IpLRJY4CP3fXtlEd8Y4GFQ,34-i9B0d0r0575-x6xDTsw,"This place is nothing special. I've eaten here enough times to know!  Each time, I end up saying,""Should have gone to Carabba's!""  Or Olive Garden for that matter. The food is mediocre.

The only good thing about this place is its prime location for sidewalk dining.",2.0,"Italian, Restaurants",129,3.0,518,2.95
ax4u663sjF4UprVDSET_ZA,qsHZ6_yT870pmm4Oxvw5Og,-kX4WpZWN_6Xp2mVsYoKVg,"I LOVE the zumba classes - however the group exercise room is always TOO HOT for those zumba classes that start right after yoga.  There is no air circulation (no fans, no windows open) so even in the winter, it was too hot for a heavy cardio class.  They just need to install ceiling fans!  This is a major issue",2.0,"Active Life, Fitness & Instruction, Gyms, Trainers",86,2.5,39,3.85
SNZ8fisexqrqAhwOTzBQlA,asAdx4Q3cAMykgPgtQt6cg,lzd8C9rmc4_5tmmnbq_7Lw,"This is a Mid West style thin cracker crust pizza cut into squares. If you know this type of pizza this is a great place. Some other highlights, the make their own sausage, Friendly service, and salads. This is a small hole place that has been lost in time from the 70's. The beer selection is not great.",4.0,"Pizza, Restaurants",126,4.0,123,4.2
QB5S75wI435hUSBWeEp19w,KrIL3TIOJI-tjvU6BlcA-g,PXNIcWp4xqtXllJlLseO3g,"Dr. Toscani and her assistants downstairs have taken excellent care of my eyes for almost 8 years. I've purchased a couple pairs of glasses from the upstairs folks, and Rocky helped me choose a cute pair last time- I get a lot of compliments on the frames, but it wasn't something I would have picked for myself!",4.0,"Eyewear & Opticians, Health & Medical, Optometrists, Shopping",65,4.0,141,4.22
hUw-vo67NJ1IRApujvu6Ww,2aYKApNwS5gi1XS_V6qYJg,_9anWibEkGD0fdIDruqZAA,"This was a very pleasant experience. The room was big and clean, nice kitchen too. The hotel has an indoor pool, fitness room, tennis court and free laundry for guests. Everyone was friendly and even the breakfast was good. I would definitely stay here again.",5.0,"Event Planning & Services, Hotels, Hotels & Travel, Venues & Event Spaces",45,3.0,296,3.5
q5r2X5KF3Q69ceUemUFo7A,iEONL-v4W46yliYsovCP_g,KFv6cNH81TwkVnaeMJGIBQ,"this is located right off the turnpike and next to the red robin. I deposited money here for a friend who lives in California. Staff was fair and helpful. Most of the tellers were multi-ligual. drive through was pretty busy, but inside we were the only people there.",2.0,"Banks & Credit Unions, Financial Services",5,2.0,947,3.65
Q5NrGRY1Gl9h2rjzMK8rmg,2Od6rQYNvPUXQC2Go7vIqg,zOtbdSGCVYRLiaSCokZDbA,Tried to do a walk in during a recent trip to the area but it is a small restaurant with limited seating so we had to leave with our party of four. We returned the next day to get a quick takeout for beef udon noodles which was fine. Recommend to call ahead to find out seating availability.,3.0,"Japanese, Restaurants, Sushi Bars",192,4.5,986,3.63
lOvSjMVlu-XofeoOf4MgGA,Q5jOFJYhIsN8ouJ1rnsLQQ,6OQATMllgpJZg-L4w3Nt1Q,"If you're on the West side of town and need to rent a car, I recommend Enterprise. The staff is friendly, professional, eager to please, and happy to pick you up and drop you off. The fleet is brand new and full of fun new, German and Japanese cars that are great on gas.",4.0,"Car Rental, Hotels & Travel",10,4.5,593,3.79
OMS1vTNTxjWmBJLKT-A0hQ,P5bUL3Engv-2z6kKohB6qQ,T5XzQ6YnVExvd0BOR26OMQ,"This place is totally old school., The Supermarket that was left in the 70s. They have some kooky brands from New Hampshire called Best Yet. Id never seen that before. Some of your normal standard chain grocery things also. Nothing special and crazy. I guess if you live in the area it's as convenient as it gets.",3.0,"Food, Grocery",13,2.0,9941,3.81
